,Course,Section,Title,Description
0,ETLS 502,ETLS 502,Manufacturing Processes,An overview of manufacturing processes with the objective of establishing the processes most appropriate to the characteristics and production requirements of the product. Metallurgy is briefly reviewed as a basis for material processing.  Many conventional methods of fabrication are covered.  Design for manufacturing and assembly techniques will be studied along with assembly methods and flow.  Clean rooms and electronic assembly are also covered.  Students unfamiliar with manufacturing processes will need to do independent study to determine all of the processes available.
1,ETLS 503,ETLS 503,Engineering Mechanics,The course provides an overview of engineering solid mechanics. An effort will be made to apply theory to practice relating to typical industrial problems faced by today’s engineering companies. A complete understanding of these topics is required for the application of engineering knowledge in the solid mechanics. This course provides the foundation for many of the courses which follow.
2,ETLS 504,ETLS 504,Excellence in Operations,"An advanced course in concepts essential to achieving excellence in operations.  The course covers the development and implementation of a coherent manufacturing strategy consistent with business and corporate strategies; importance of global competitiveness; and structuring of the production process based on the manufacturing mission.  The human interaction involved in current quality issues, Just-in-time (JIT), Total Productive Maintenance (TPM), setup time reduction, simultaneous engineering, lean manufacturing and contemporary logistics systems, employee involvement and teamwork are key concepts of this course."
3,ETLS 506,ETLS 506,Statistic Methods for Mfg Qlty,"An introduction to the basic philosophy of the statistical tools used to assure manufacturing quality.  Tools to include:  hypothesis testing, regression analysis, analysis of variance, process capability, control charts (SPC) and six sigma.  Students will conduct and report an industrial based statistical application project."
4,ETLS 507,ETLS 507,Intro. to Systems Engineering,"This course considers the engineering of both natural and human-made systems as well as the analysis of those systems. The course will convey to the students the essential elements of systems engineering; including systems thinking, systems analysis, system architecture, the decomposition and re-composition of systems design, risk management, reliability, maintainability and availability, and the coherent structure of a systems view."
5,ETLS 509,ETLS 509,Verification & Validation,"This  course considers two closely related but distinct concepts in systems engineering, verification and validation. Verification is “The process of evaluating a system or component to determine whether the products of a given development phase satisfy the conditions imposed at the start of that phase.” (IEEE Standard Glossary of Software Engineering Terminology, Standard 610.12-1990.) Validation is the act of assessing the requirements, design, and development of a product to ensure that it will meet the user’s requirements, operational needs, and expectations at the time of delivery. Systems engineering verification and validation practices will be studied and applied in appropriate situations. 
Prerequisite: ETLS 508 - Systems Design"
6,ETLS 511,ETLS 511,Circuit Analysis,"Introduction to linear circuit analysis and basic electronic instrumentation. Students will learn linear models of passive components and sources as well as how real components depart from those models. Circuit analysis techniques including nodal and mesh analysis, equivalence theorems and computer simulation will be covered. Laplace transform techniques will be used to examine sinusoidal steady state and transient circuit behavior.
Prerequisite: A minimum grade of C- in PHYS 112 or 212, and concurrent registration with or prior completion of MATH 114.
NOTE: Students who receive credit for ENGR 240 or ENGR 350 may not receive credit for this class."
7,ETLS 512,ETLS 512,Control Systems & Automation,"An introduction to the scope of control systems in manufacturing and their implementation. The course focuses on analog control loop theory, the use of transforms to describe and solve analog control systems. Emphasis is placed on the development and implementation of proportional, integral derivative (PID) control algorithms. Simulation is emphasized as an important tool for plant design, layout and optimizing systems.
Prerequisite: ETLS 511
Note: Students who receive credit for ENGR 410 may not receive credit for ETLS 512."
8,ETLS 513,ETLS 513,Technical Communications,"ETLS 513 Technical Communications:  
(Required for Non-STEM  Masters of Manufacturing Engineering degree students)
Technical communication is an essential skill for a successful engineering career. We’ll start with the ethical basis for technical communication and what distinguishes it from other kinds of writing and speaking. Topics include the mechanics of writing and editing; the parts of a technical report; ways to organize the material; graphs, images, and tables; and maintaining objectivity. Students will gain practice in writing short forms such as executive summaries, instructions, and emails as well as longer reports. They will also learn to use Excel to make effective tables and graphics. They will practice effective oral communication using PowerPoint and other visual aids. We will also cover tips for projecting one’s voice, connecting with the audience, and giving testimony."
9,ETLS 525,ETLS 525,Engineering Economics,"The purpose of this course is to introduce engineers to some of the financial and economic principles and concepts they will face in the workplace.  A successful engineer not only has full mastery of engineering subject matter but also mastery of fundamental business practices and principles around cost management in the New Product Introduction process, product revisions and addressable market expansion.  Topics will include cashflow analysis, simple and compound interest, minimum attractive rate of return, present and future value of cashflows, internal and external rate of return, Cost/Benefit analysis, Cost of Capital, repair/replace decisions, breakeven and payback analysis and other topics."
10,ETLS 551,ETLS 551,Organizational Perf. Excell,"Organizational Performance Excellence is presented as a Driver --> System --> Results model.

The DSR model provides a framework for better understanding your business and when and where to take action to improve results. The DSR model is a tool that links company mission, vision, strategic plans, competitive positioning, and customer focus as the Driver. The System consists of the workforce and operational processes that design, produces, and delivers products and services. Results measure the performance of an organization in leadership, financial, customer, employee, and process areas.  The DSR model is underpinned with the information and knowledge necessary to make fact-based decisions.  The course connects the DSR model to the Baldrige Excellence Framework and continuous improvement tools such as Plan-Do-Check-Act and A3 problem solving methodologies."
11,ETLS 552,ETLS 552,Supply Chain Sychro & Foreca,"This applications-oriented course will review key topics in supply chain management and integrate these topics with current management thinking in lean manufacturing and six sigma.  A systems thinking approach that maps logistics, forecasting, warehousing, transportation, and information systems will be combined with discussions of vendor and customer relationships, motivations, and ethics to work toward a smoothly functioning supply system.  Students will use proven industrial engineering and management principles, techniques and tools to design a supply chain for their industry, efficiently and effectively plan and layout manufacturing operations, and improve processes to eliminate waste."
12,ETLS 555,ETLS 555,Advanced Product Design,"Detailed discussion of product design and development for engineers. This lecture-based course focuses on medical device product design, yet it draws many examples from other industries. Students will learn the product development cycle beginning with initial market analysis and proceeding through manufacturing. The course introduces many statistical analysis tools and procedures as the basis for rigorous decision making in product design. General design topics include voice-of-customer research; technical product requirements; project planning and schedules; measurement system analysis; comparative testing; design of experiments; robust design; manufacturing process control; and product reliability."
13,ETLS 601,ETLS 601,Program/Project/Team Mgmt,"Focusing on the applications of project management, students gain insight and understanding of the day-to-day activities of project management (including cost analysis and scheduling techniques) and exposure to software options.  A significant portion of the course focuses on conflict resolution, time management, leadership, and other personnel-related topics with the goal that engineers might effectively carry out the requirements of their companies without paying a penalty in lost good will or personnel."
